title,id,stage,creation,creator,activity,actor,nosy,type,components,versions,dependencies,assignee,keywords,priority,status,resolution,nosy_count,message_count
Python hangs on fork when a logger is in use in a background thread,37429,None,2019-06-27.12:39:22,24028,2019-06-27.13:32:31,24028,"['328', '24028', '28746']",None,['9'],"['14', '20', '21']",[],None,[],4,1,None,3.0,6.0
test_gdb is skipped in builds since gdb is not installed as part of build script,33926,4,2018-06-21.10:35:39,28746,2019-06-27.14:47:57,2377,"['2377', '10371', '15467', '16197', '27838', '28746']",None,"['1', '12']",['22'],[],None,['2'],4,1,None,6.0,6.0
test_asyncio: test_start_tls_server_1() failed on ARMv7 Debian buster 3.7,37431,None,2019-06-27.16:52:59,2377,2019-06-27.16:52:59,2377,"['2377', '10303', '16198']",None,['30'],['21'],[],None,[],4,1,None,3.0,1.0
Add support for ARM64 to libffi,36944,None,2019-05-16.21:50:56,29112,2019-06-27.20:39:59,29112,"['301', '3951', '15467', '16632', '29112']",None,['15'],['22'],[],None,[],4,1,None,5.0,2.0
"Calling ""functions"" used to implement generators/comps easily cause crash",36956,None,2019-05-18.13:53:21,25661,2019-06-28.08:15:22,114,"['114', '25661', '31176']",1,[],"['20', '21', '22', '23']",[],None,[],4,1,None,3.0,4.0
__code__. co_filename should always be an absolute path,20443,4,2014-01-30.02:15:15,16198,2019-06-28.14:49:41,2377,"['1309', '2377', '9663', '16198', '28746']",5,[],['19'],[],None,['2'],4,1,None,5.0,10.0
inspect.findsource doesn't handle shortened files gracefully,37166,4,2019-06-05.19:46:26,11143,2019-06-28.17:46:00,31484,"['2377', '10753', '11143', '16198', '24191', '31484']",5,['9'],"['21', '22', '23']",[],None,['2'],4,1,None,6.0,6.0
XML vulnerabilities in Python,17239,4,2013-02-19.15:35:41,3108,2019-06-28.17:57:20,10982,"['19', '93', '114', '2040', '2153', '2377', '2731', '3108', '4455', '4692', '5248', '5277', '5290', '7047', '9138', '9740', '10982', '14751', '15623', '16283', '16632', '17399', '27838']",4,"['5', '9', '16']","['14', '20', '21', '22']","['17318', '24238']",None,['2'],2,1,None,23.0,23.0
asyncio sock_recv blocks on ssl sockets.,37404,4,2019-06-25.19:36:21,31636,2019-06-28.18:01:56,31636,"['3108', '10303', '16198', '31636']",5,"['30', '33']",['21'],[],3108,['2'],4,1,None,4.0,5.0
Minidom should not pretty-print inside text elements,37442,None,2019-06-28.18:04:51,10982,2019-06-28.18:04:51,10982,['10982'],None,['16'],['20'],[],None,[],4,1,None,1.0,1.0
Documentation on the change of __path__ in Python 3,37422,None,2019-06-26.23:46:04,31645,2019-06-28.21:17:23,155,"['37', '2799', '12260', '31645']",None,['4'],"['21', '22', '23']",[],12260,[],4,1,None,4.0,6.0
shutil.copy2 raises OSError if filesystem doesn't support chmod,26468,4,2016-03-02.09:21:59,23527,2019-06-28.22:26:15,31176,"['2799', '12260', '23527']",None,"['4', '9']","['14', '18', '19']",[],12260,['2'],4,1,None,3.0,3.0
Some FormatMessageW() calls use FORMAT_MESSAGE_FROM_SYSTEM without FORMAT_MESSAGE_IGNORE_INSERTS,37445,4,2019-06-28.23:58:58,26650,2019-06-29.00:13:15,26650,"['301', '3951', '15467', '16632', '26650']",None,"['5', '15']","['14', '21', '22', '23']",[],None,['2'],4,1,None,5.0,1.0
Please add race-free os.link and os.symlink wrapper / helper,36656,4,2019-04-18.08:44:47,31117,2019-06-29.13:53:53,31117,"['2557', '3924', '9047', '15623', '16413', '20518', '31117']",6,['9'],['23'],[],None,['2'],4,1,None,7.0,14.0
Undefined behavior in Python/hamt.c,37446,None,2019-06-29.00:58:10,26650,2019-06-29.15:33:54,31169,"['16198', '26650', '31169']",5,['8'],"['21', '22', '23']",[],None,[],4,1,None,3.0,2.0
range is not a built-in function,37430,None,2019-06-27.15:39:32,4873,2019-06-29.15:59:20,155,"['155', '4873', '12260']",5,['4'],"['21', '22', '23']",[],12260,[],4,1,None,3.0,4.0
shutil.chown should support dir_fd and follow_symlinks keyword arguments,18108,4,2013-05-31.13:09:57,3923,2019-06-29.18:08:16,19387,"['3923', '12504', '14674', '14695', '19387']",6,['9'],['19'],[],None,"['2', '6']",4,1,None,5.0,6.0
Minidom does not have to escape quote inside text segments,37374,4,2019-06-22.20:34:20,10982,2019-06-29.18:19:08,31597,"['2153', '10982', '15623', '31597']",6,['16'],['20'],[],None,['2'],4,1,None,4.0,6.0
obmalloc: radix tree for tracking arena address ranges,37448,4,2019-06-29.23:08:22,83,2019-06-30.02:58:30,28746,"['6', '83', '10371']",6,['8'],[],[],None,['2'],4,1,None,3.0,1.0
Segfault in typeobject.c at _PyObject_GC_UNTRACK(type),37434,None,2019-06-27.18:30:57,31654,2019-06-30.04:54:58,6,"['6', '4455', '31654', '31673']",1,[],['21'],[],None,[],4,1,None,4.0,7.0
Undocumented behavior in csv.Sniffer (preferred delimiters),36497,3,2019-04-01.13:54:16,30994,2019-06-30.12:23:03,19387,"['12260', '19387', '30994']",5,"['4', '9']","['21', '22']",[],12260,[],4,1,None,3.0,2.0
Merge StreamWriter and StreamReader into just asyncio.Stream,36889,4,2019-05-11.18:15:14,10303,2019-06-30.17:36:22,28746,"['10303', '16198', '16276', '20518', '20658', '27838', '28746']",None,['30'],['22'],[],None,['2'],4,1,None,7.0,16.0
asyncio.run() error related to finalizing async generators,37455,None,2019-06-30.23:53:08,31684,2019-07-01.00:06:54,31684,"['10303', '16198', '31684']",5,['30'],"['21', '22']",[],None,[],4,1,None,3.0,3.0
IDLE: revise zzdummy.py,32631,4,2018-01-23.06:57:24,155,2019-07-01.00:45:28,25861,['155'],5,['6'],"['20', '21']",[],155,['2'],4,1,None,1.0,1.0
ast: Different FormattedValue expressions have same col_offset information,37458,None,2019-07-01.02:10:41,31686,2019-07-01.08:58:38,2799,"['2799', '31686']",5,['9'],"['21', '22']",[],2799,[],4,1,None,2.0,2.0
Add what's new entries for pickle enhancements,37209,4,2019-06-09.12:38:47,2040,2019-07-01.14:05:09,2040,"['2040', '2381', '12260', '30012']",6,"['4', '9']",['22'],[],12260,['2'],4,1,None,4.0,3.0
os.path.isfile() with big number cause OverflowError: fd is greater than maximum,37436,None,2019-06-28.01:53:43,31657,2019-07-02.02:49:01,31657,"['301', '2731', '3951', '15467', '16632', '31341', '31657']",5,['31'],"['22', '23']",[],None,['18'],4,1,None,7.0,5.0
Incorrect documentation for `s#` arguments in C API argument parsing,37465,None,2019-07-01.08:20:20,13960,2019-07-02.04:22:36,10371,"['10371', '12260', '13960']",None,['4'],"['19', '20', '21', '22', '23']",[],12260,[],4,1,None,3.0,4.0
Improve conditional check for test_gdb,37382,4,2019-06-24.08:31:13,16197,2019-07-02.10:01:02,16197,"['2377', '4455', '16197', '23615']",6,['12'],['23'],[],None,['2'],4,1,None,4.0,15.0
getpass.getpass not working with on windows when ctrl+v  is used to enter the string,37426,None,2019-06-27.09:49:37,31651,2019-07-02.10:04:03,31651,"['155', '301', '3951', '12260', '15467', '16413', '16632', '31651']",5,['4'],['20'],[],12260,[],4,1,None,8.0,4.0
"bdist_wininst depends on MBCS codec, unavailable on non-Windows",10945,4,2011-01-19.15:28:02,7641,2019-07-02.11:13:45,2377,"['8', '1076', '2377', '2984', '4555', '7641', '9138', '10698', '14276', '25227', '26057', '27838']",5,"['3', '25']","['11', '14', '16', '17']",[],7641,['2'],4,1,None,12.0,26.0
What is urllib.request.urlcleanup() function?,37475,None,2019-07-01.18:01:48,2377,2019-07-02.12:53:14,2377,"['1741', '2377', '28746']",None,['9'],['23'],[],None,[],4,1,None,3.0,5.0
Add tests for ``from ... import ...` code,24846,2,2015-08-12.01:09:47,37,2019-07-02.14:44:36,29786,"['37', '43', '14000', '29786']",None,['8'],['20'],['24492'],None,[],4,1,None,4.0,1.0
"Document the ""gotcha"" behaviors in utcnow() and utcfromtimestamp()",37488,3,2019-07-02.16:01:38,24890,2019-07-02.16:01:38,24890,"['1427', '12260', '24890']",6,['4'],"['21', '22', '23']",[],12260,[],4,1,None,3.0,1.0
isinstance raises TypeError for metaclass with metaclass=ABCMeta,36881,None,2019-05-11.02:29:04,31299,2019-07-03.09:37:46,31689,"['114', '5251', '21414', '30569', '31176', '31299', '31689']",5,['8'],['21'],[],None,[],4,1,None,7.0,2.0
"poor documentation for .startswith, .endswith",37490,None,2019-07-03.05:01:35,9485,2019-07-03.10:31:26,9485,"['149', '9485', '9511', '31341']",None,[],[],[],None,[],4,1,None,4.0,9.0
tempfile module misinterprets access denied error on Windows,22107,None,2014-07-30.12:40:41,1633,2019-07-03.21:11:20,31176,"['93', '301', '1309', '1633', '3951', '13902', '14007', '15467', '15623', '16413', '16632', '22458', '23867', '25057', '27231', '30828', '31176']",3,"['9', '15']","['14', '19', '20', '21']",[],None,['2'],4,1,None,17.0,40.0
SSLSocket.read does a GIL round-trip for every 16KB TLS record,37355,None,2019-06-20.18:42:49,28818,2019-07-03.21:47:35,2040,"['3108', '10303', '16198', '28818']",7,['33'],['23'],[],3108,[],4,1,None,4.0,1.0
Python should support exporting thread names to the OS,15500,4,2012-07-30.12:19:30,12415,2019-07-03.23:43:24,26650,"['415', '2040', '3108', '9138', '9663', '10303', '11184', '12415', '13401', '13573', '26650']",6,['9'],['23'],[],None,['2'],4,1,None,11.0,6.0
Add inspect.Signature.from_text().,37497,3,2019-07-04.00:11:26,14000,2019-07-04.02:11:12,28746,"['14000', '16198']",6,['9'],['23'],[],14000,[],4,1,None,2.0,2.0
